Type,Expression,Description,Alternative_1,Alternative_2,Alternative_3
Metaphor,He has a heart of stone,He is emotionally cold and unfeeling.,He prioritizes logic over emotion in decisions.,He often appears detached from others.,He avoids intimate relationships.
Metaphor,Her voice is music to my ears,Her voice is very pleasant to hear.,Her singing can easily distract from conversation.,Her voice tends to be high-pitched and soft.,She often uses it to manipulate emotions.
Metaphor,He is a night owl,He stays up late and is active at night.,He struggles to wake up early for commitments.,He prefers solitude during nighttime hours.,He often misses morning opportunities.
Metaphor,He is the black sheep,He is different from the rest of his family.,He often feels like an outsider among his peers.,He attracts negative attention from others.,He is frequently criticized by his family.
Metaphor,His smile is a ray of sunshine,His smile brings joy and warmth.,He uses his smile to mask deeper issues.,His smile can be misleading in its sincerity.,He often smiles at inappropriate times.
Metaphor,Knowledge is power,Having knowledge gives one control or influence.,It can lead to isolation from those without it.,Knowledge is often used to intimidate others.,Too much knowledge can create anxiety.
Metaphor,Life is a journey,Life involves growth and experiences.,It is filled with unexpected detours and challenges.,Life can often feel aimless or without direction.,Each person’s journey is uniquely solitary.
Metaphor,She is an anchor in my life,She provides stability and support.,She can sometimes weigh me down with expectations.,Her presence may limit my personal growth.,She offers stability but at the cost of adventure.
Metaphor,She is a breath of fresh air,She brings new and positive energy.,Her ideas can sometimes be overwhelming.,She often changes her mind unexpectedly.,Her energy can distract from serious matters.
Metaphor,She is a firecracker,She is energetic and lively.,Her enthusiasm can border on reckless at times.,She often surprises others with her outbursts.,She is sometimes difficult to handle in groups.
Metaphor,She is a shining star,She stands out as exceptionally talented.,Her brilliance often outshines others in the room.,She tends to attract a lot of attention.,Her talent can sometimes create jealousy.
Metaphor,The city is a jungle,The city is wild and chaotic.,It can be both exhilarating and overwhelming.,The city often feels dangerous at night.,There are hidden dangers behind every corner.
Metaphor,The classroom was a zoo,The classroom was chaotic and noisy.,It often lacks structure and discipline.,Students feel free to express themselves excessively.,Learning is often overshadowed by distractions.
Metaphor,The future is a blank canvas,The future is full of possibilities.,It can be intimidating to consider the unknown.,Not everyone is prepared to fill it meaningfully.,Some feel pressured to create a perfect picture.
Metaphor,The mountains are giants,The mountains loom large and powerful.,They often symbolize overwhelming challenges.,They can seem unapproachable to many.,Their size can evoke feelings of insignificance.
